,preference,property_type,city,transact_type,owntype,bedroom_num,price_per_unit_area,furnish,facing,age,total_floor,features,prop_name,price_sqft,amenities,area,price,prop_heading,secondary_tags,total_landmark_count,society_name,building_name,location,balcony_num,floor_num,carpet_sqft,superbuiltup_sqft,builtup_sqft,super_sqft,location.1,hospitals,schools,metro_stations,connectivity,parking,shopping,pharmacy,miscellaneous,club,railwaystation,metrostation,airport,busdepot,bank,attraction,park,officecomplex,education,amusementpark,golfcourse,busstop,library,hospital,atm,stadium,religiousplace,hotel
5831,S,Residential Apartment,Kolkata North,1.0,1,3.0,7094.0,2,3,5,7.0,"44,12,3,17,9,40,41,20,21",Nirmala View,7094.0,"17,20,21,44,9,40,41,12,3,102",1339 sq.ft.,95 L,3 BHK Flat in Kalindi Jessore Road,"['UNDER CONSTRUCTION', 'RESALE']",25.0,Nirmala View,Nirmala View,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '0', 'LOCALITY_NAME': 'Kalindi Jessore Road', 'ADDRESS': None}",2.0,4,900.0,1339.0,1000.0,1500.0,"(88.378133, 22.715388)",0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5832,R,Residential Apartment,Kolkata North,1.0,0,2.0,17.0,1,7,2,4.0,"24,5,19",on request,17.0,"5,24,19,102,103",920 sq.ft.,"16,000",2 BHK Flat in Kestopur,"['FURNISHED', 'FOR SINGLE MEN', 'FOR SINGLE WOMEN']",49.0,on request,on request,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '507', 'LOCALITY_NAME': 'Kestopur', 'ADDRESS': None}",1.0,3,760.0,920.0,1000.0,1500.0,"(22.597569, 88.433155)",7,8,3,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
5833,S,Residential Apartment,Kolkata South,1.0,1,4.0,15251.0,2,2,5,19.0,"44,12,1,46,3,5,6,9,40,41,20,21",Morya,15251.0,"5,20,21,44,1,46,6,9,40,41,12,3",1967 sq.ft.,3 Cr,4 BHK Flat in Tollygunge,"['UNDER CONSTRUCTION', 'RESALE', 'RERA | HIRA']",10.0,Morya,Morya,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '598', 'LOCALITY_NAME': 'Tollygunge', 'ADDRESS': None}",2.0,19,900.0,1140.0,1967.0,1500.0,"(22.492559, 88.339088)",13,9,7,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
5834,S,Residential Apartment,Kolkata North,1.0,1,3.0,6921.0,2,5,5,7.0,"44,12,3,9,40,41,21",Nirmala View,6921.0,"21,44,9,40,41,12,3",1517 sq.ft.,1.05 Cr,3 BHK Flat in Kalindi Jessore Road,"['UNDER CONSTRUCTION', 'RESALE']",25.0,Nirmala View,Nirmala View,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '0', 'LOCALITY_NAME': 'Kalindi Jessore Road', 'ADDRESS': None}",3.0,4,900.0,1517.0,1000.0,1500.0,"(88.378133, 22.715388)",0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5835,S,Residential Apartment,Kolkata East,1.0,1,2.0,6199.0,2,7,1,4.0,"23,5,19,21",On Request,6199.0,"5,21,23,19",907 sq.ft.,56.23 L,2 BHK Flat in Action Area 1,"['READY TO MOVE', 'RESALE']",50.0,On Request,On Request,"{'CITY': '28', 'CITY_NAME': 'Kolkata East', 'LOCALITY_ID': '19491', 'LOCALITY_NAME': 'Action Area 1', 'ADDRESS': None}",1.0,2,900.0,907.0,1000.0,1500.0,"(22.597982, 88.43143)",10,10,3,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
5836,S,Residential Apartment,Kolkata North,1.0,1,3.0,5784.0,2,5,5,9.0,"44,17,40,41",Martin Hornbill,5784.0,"17,44,40,41",1167 sq.ft.,67.5 L,3 BHK Flat in Jawpur,"['UNDER CONSTRUCTION', 'RESALE']",25.0,Martin Hornbill,Martin Hornbill,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '45642', 'LOCALITY_NAME': 'Jawpur', 'ADDRESS': None}",2.0,5,900.0,1167.0,1000.0,1500.0,"(88.378133, 22.715388)",0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5837,S,Residential Apartment,Kolkata North,1.0,1,2.0,5204.0,2,5,5,9.0,"44,12,1,40,41,31,21",Martin Hornbill,5204.0,"21,44,1,40,41,12,31",980 sq.ft.,51 L,2 BHK Flat in Jawpur,"['UNDER CONSTRUCTION', 'RESALE']",25.0,Martin Hornbill,Martin Hornbill,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '45642', 'LOCALITY_NAME': 'Jawpur', 'ADDRESS': None}",1.0,5,900.0,980.0,1000.0,1500.0,"(88.378133, 22.715388)",0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5838,S,Residential Apartment,Kolkata North,1.0,1,3.0,5737.0,2,7,5,9.0,"44,12,26,29,1,2,3,5,6,41,20,31,21",Martin Hornbill,5737.0,"2,5,20,21,44,29,1,6,41,12,26,3,31",1255 sq.ft.,72 L,3 BHK Flat in Jawpur,"['UNDER CONSTRUCTION', 'RESALE']",25.0,Martin Hornbill,Martin Hornbill,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '45642', 'LOCALITY_NAME': 'Jawpur', 'ADDRESS': None}",2.0,5,900.0,1255.0,1000.0,1500.0,"(88.378133, 22.715388)",0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5839,R,Residential Apartment,Kolkata North,1.0,0,1.0,23.0,1,1,2,4.0,"5,17,6,19",Nandita Abasan,23.0,"5,17,6,19,103",430 sq.ft.,"10,000",1 BHK Flat in Kestopur,"['FURNISHED', 'FOR SINGLE MEN', 'FOR SINGLE WOMEN']",50.0,Nandita Abasan,Nandita Abasan,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '507', 'LOCALITY_NAME': 'Kestopur', 'ADDRESS': None}",1.0,2,900.0,430.0,1000.0,1500.0,"(22.597982, 88.43143)",10,10,3,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
5840,R,Residential Apartment,Kolkata North,1.0,0,2.0,15.0,2,7,2,4.0,"5,19",Nandita Apartment,15.0,"5,19",750 sq.ft.,"11,500",2 BHK Flat in Kestopur,"['FOR SINGLE MEN', 'FOR SINGLE WOMEN']",50.0,Nandita Apartment,Nandita Apartment,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '507', 'LOCALITY_NAME': 'Kestopur', 'ADDRESS': None}",1.0,2,900.0,750.0,1000.0,1500.0,"(22.597982, 88.43143)",10,10,3,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
5841,S,Residential Apartment,Kolkata North,1.0,1,1.0,3700.0,2,4,1,5.0,"5,17,19,21",On Request,3700.0,"5,17,21,19",400 sq.ft.,14.8 L,1 BHK Flat in Kestopur,"['READY TO MOVE', 'RESALE']",50.0,On Request,On Request,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '507', 'LOCALITY_NAME': 'Kestopur', 'ADDRESS': None}",1.0,3,900.0,400.0,1000.0,1500.0,"(22.597982, 88.43143)",10,10,3,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
5842,S,Residential Apartment,Kolkata North,1.0,1,2.0,3200.0,2,2,2,4.0,"5,6,19",Nandita Apartment,3200.0,"5,6,19",750 sq.ft.,24 L,2 BHK Flat in Kestopur,"['READY TO MOVE', 'RESALE']",50.0,Nandita Apartment,Nandita Apartment,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '507', 'LOCALITY_NAME': 'Kestopur', 'ADDRESS': None}",1.0,2,900.0,750.0,1000.0,1500.0,"(22.597982, 88.43143)",10,10,3,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
5843,S,Residential Apartment,Kolkata North,1.0,1,3.0,8226.0,2,7,5,18.0,"44,23,12,25,17,19,3,5,40,41,20,31,21",Vinayak Aquasa,8226.0,"17,5,20,21,44,23,19,40,41,12,25,3,31,102",1641 sq.ft.,1.35 Cr,3 BHK Flat in Milk Colony,"['UNDER CONSTRUCTION', 'RESALE']",25.0,Vinayak Aquasa,Vinayak Aquasa,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '1107590', 'LOCALITY_NAME': 'Milk Colony', 'ADDRESS': None}",1.0,1,900.0,1641.0,1000.0,1500.0,"(88.378133, 22.715388)",0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5844,S,Residential Apartment,Kolkata North,1.0,1,2.0,3373.0,2,7,1,4.0,"5,19,21",Sitala Abasan,3373.0,"5,21,19",830 sq.ft.,28 L,2 BHK Flat in Kestopur,"['READY TO MOVE', 'RESALE']",50.0,Sitala Abasan,Sitala Abasan,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '507', 'LOCALITY_NAME': 'Kestopur', 'ADDRESS': None}",1.0,2,900.0,830.0,1000.0,1500.0,"(22.597982, 88.43143)",10,10,3,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
5845,S,Residential Apartment,Kolkata West,1.0,1,3.0,2600.0,2,3,1,4.0,"44,23,24,25,5,17,19,9,40,41,21",Siddhayee apartment ( new booking),2600.0,"5,17,21,44,23,24,19,9,40,41,25,101,102",1250 sq.ft.,32.5 L,3 BHK Flat in Konnagar,"['READY TO MOVE', 'RESALE']",18.0,Siddhayee apartment ( new booking),Siddhayee apartment ( new booking),"{'CITY': '29', 'CITY_NAME': 'Kolkata West', 'LOCALITY_ID': '10104', 'LOCALITY_NAME': 'Konnagar', 'ADDRESS': 'Aurobindo Road Bus Stop,1min Walking Distance From Gt Road.'}",2.0,4,900.0,1250.0,1000.0,1500.0,"(22.699474, 88.357346)",7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5846,S,Residential Apartment,Kolkata West,1.0,1,2.0,2600.0,2,1,1,4.0,"44,23,24,25,5,17,19,9,40,41,21",Aurobindo apartment (new booking),2600.0,"5,17,21,44,23,24,19,9,40,41,25,101,102",570 sq.ft.,14.82 L,2 BHK Flat in Konnagar,"['READY TO MOVE', 'RESALE']",18.0,Aurobindo apartment (new booking),Aurobindo apartment (new booking),"{'CITY': '29', 'CITY_NAME': 'Kolkata West', 'LOCALITY_ID': '10104', 'LOCALITY_NAME': 'Konnagar', 'ADDRESS': 'Walking Distance 5min From Bata Mor,near: Aurobindo Road Bus Stop.'}",1.0,4,900.0,570.0,1000.0,1500.0,"(22.699474, 88.357346)",7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5847,S,Residential Apartment,Kolkata West,1.0,1,2.0,2600.0,2,6,1,4.0,"44,23,24,25,5,17,19,9,40,41,21",Siddhayee Apartment(New Booking),2600.0,"5,17,21,44,23,24,19,9,40,41,25,101,102",700 sq.ft.,18.2 L,2 BHK Flat in Konnagar,"['READY TO MOVE', 'RESALE']",18.0,Siddhayee Apartment(New Booking),Siddhayee Apartment(New Booking),"{'CITY': '29', 'CITY_NAME': 'Kolkata West', 'LOCALITY_ID': '10104', 'LOCALITY_NAME': 'Konnagar', 'ADDRESS': '5min From Konnager Bata Mor And Ferry Ghat.'}",1.0,4,900.0,700.0,1000.0,1500.0,"(22.699474, 88.357346)",7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5848,S,Residential Apartment,Kolkata West,1.0,1,2.0,2600.0,2,5,1,4.0,"44,23,24,25,5,17,19,9,40,41,21",Aurobindo Apartment(New Booking),2600.0,"5,17,21,44,23,24,19,9,40,41,25,101,102",799 sq.ft.,20.77 L,2 BHK Flat in Konnagar,"['READY TO MOVE', 'RESALE']",9.0,Aurobindo Apartment(New Booking),Aurobindo Apartment(New Booking),"{'CITY': '29', 'CITY_NAME': 'Kolkata West', 'LOCALITY_ID': '10104', 'LOCALITY_NAME': 'Konnagar', 'ADDRESS': 'Walking Distance 2min From Gt Road,near:Bata Ferry Service.'}",1.0,1,900.0,799.0,1000.0,1500.0,"(22.708796, 88.33889)",2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
